"행정구역(시군구)별","성별","연령별","항목","단위","2025 년",
"서울특별시","남자","52세","주민등록연앙인구","","74185.5",
"서울특별시","남자","53세","주민등록연앙인구","","77542.5",
"서울특별시","남자","54세","주민등록연앙인구","","77687.5",
"서울특별시","남자","55세","주민등록연앙인구","","75370",
"서울특별시","남자","56세","주민등록연앙인구","","73325",
"서울특별시","남자","57세","주민등록연앙인구","","68605.5",
"서울특별시","남자","58세","주민등록연앙인구","","64574",
"서울특별시","남자","59세","주민등록연앙인구","","64004.5",
"서울특별시","남자","60세","주민등록연앙인구","","64312",
"서울특별시","남자","61세","주민등록연앙인구","","62829.5",
"서울특별시","남자","62세","주민등록연앙인구","","63882.5",
"서울특별시","남자","63세","주민등록연앙인구","","66043",
"서울특별시","남자","64세","주민등록연앙인구","","66476.5",
"서울특별시","남자","65세","주민등록연앙인구","","65476",
"서울특별시","남자","66세","주민등록연앙인구","","61471.5",
"서울특별시","남자","67세","주민등록연앙인구","","59102",
"서울특별시","남자","68세","주민등록연앙인구","","55882.5",
"서울특별시","남자","69세","주민등록연앙인구","","53768",
"서울특별시","남자","70세","주민등록연앙인구","","50970.5",
"서울특별시","남자","71세","주민등록연앙인구","","43950.5",
"서울특별시","남자","72세","주민등록연앙인구","","42531.5",
"서울특별시","남자","73세","주민등록연앙인구","","37363.5",
"서울특별시","남자","74세","주민등록연앙인구","","32174.5",
"서울특별시","남자","75세","주민등록연앙인구","","33465.5",
"서울특별시","남자","76세","주민등록연앙인구","","32859",
"서울특별시","남자","77세","주민등록연앙인구","","32463.5",
"서울특별시","남자","78세","주민등록연앙인구","","28999",
"서울특별시","남자","79세","주민등록연앙인구","","23854.5",
"서울특별시","남자","80세 이상","주민등록연앙인구","","160967.5",
"서울특별시","남자","80세","주민등록연앙인구","","21791",
"서울특별시","남자","81세","주민등록연앙인구","","20920.5",
"서울특별시","남자","82세","주민등록연앙인구","","21778.5",
"서울특별시","남자","83세","주민등록연앙인구","","20298",
