학교명,주소,위도,경도
광양제철고등학교,전라남도 광양시 마로니에길 61,34.94658903,127.7271323
광양하이텍고등학교,전라남도 광양시 광양읍 신재로 106,34.98080879,127.5910447
광영고등학교,서울특별시 양천구 남부순환로30길 17,37.5371981,126.8232759
광영고등학교,전라남도 광양시 가야로 322,34.96187544,127.7146684
광영여자고등학교,서울특별시 양천구 남부순환로30길 17,37.5371981,126.8232464
광운전자공업고등학교,서울특별시 노원구 광운로1길 24,37.61923977,127.0565452
광일고등학교,광주광역시 광산구 고봉로 812,35.22062838,126.7419508
광주경신여자고등학교,광주광역시 북구 금호로 40번길 40,35.17473839,126.8926244
광주고등학교,경기도 광주시 수하길19번길 43,37.41766644,127.265711
광주고등학교,광주광역시 동구 중앙로 302,35.15944246,126.9210072
광주공업고등학교,광주광역시 북구 설죽로315번길 14,35.189132,126.8951358
광주과학고등학교,광주광역시 북구 첨단과기로 215,35.22815205,126.8478336
광주대동고등학교,광주광역시 서구 전평길 50,35.11937249,126.8497281
광주동성고등학교,광주광역시 남구 서문대로627번길 20,35.11548253,126.8935344
광주동신고등학교,광주광역시 북구 동문대로 50,35.16943786,126.9223461
광주동신여자고등학교,광주광역시 북구 동문대로50,35.16943786,126.9223461
광주서석고등학교,광주광역시 서구 화정로 253번길 27,35.14925067,126.881315
광주석산고등학교,광주광역시 남구 백운로26번길 20,35.13957721,126.9083662
광주소프트웨어마이스터고등학교,광주광역시 광산구 상무대로 312,35.14276897,126.800772
광주수피아여자고등학교,광주광역시 남구 백서로 13,35.13719317,126.911614
광주숭일고등학교,광주광역시 북구 모룡대길 40,35.21781348,126.8969064
광주여자고등학교,광주광역시 서구 상무대로1014번길 43,35.14818775,126.8731839
광주여자상업고등학교,광주광역시 남구 서문대로627번길 20,35.11548253,126.8935344
광주예술고등학교,광주광역시 북구 서강로 133,35.18390762,126.8753149
광주인성고등학교,광주광역시 남구 서문대로 390,35.10283514,126.8813301
광주자동화설비공업고등학교,광주광역시 광산구 사암로92번길 136-26,35.15002094,126.8140921
광주자연과학고등학교,광주광역시 북구 능안로 30,35.19084274,126.9154959
광주전자공업고등학교,광주광역시 광산구 첨단중앙로 7,35.20485605,126.8407682
광주제일고등학교,광주광역시 북구 독립로237번길 33,35.15234606,126.9070477
광주중앙고등학교,경기도 광주시 역동로63번길 1,37.40347289,127.2579445
광주진흥고등학교,광주광역시 광산구 왕버들로 307,35.19643601,126.8416886
